Date,Time,Minutes,Hours,Total_error,Machine
3/4/18,18:59:00,1139,19,71,Fifty-one
4/4/18,13:52:00,832,14,97,Fifty-one
5/4/18,0:26,26,0,119,Fifty-one
6/4/18,8:17:00,497,8,64,Fifty-one
7/4/18,18:10:00,1090,18,218,Fifty-one
8/4/18,2:08,128,2,123,Fifty-one
9/4/18,3:59:00,239,4,302,Fifty-one
10/4/18,4:43,283,5,132,Fifty-one
11/4/18,2:58,178,3,14,Fifty-one
12/4/18,16:20,980,16,0,Fifty-one
13/4/18,22:19,1339,22,28,Fifty-one
14/4/18,6:12,372,6,231,Fifty-one
16/4/18,8:19,499,8,67,Fifty-one
17/4/18,3:10:00,190,3,26,Fifty-one
18/4/18,4:23,263,4,47,Fifty-one
19/4/18,10:39:00,639,11,90,Fifty-one
20/4/18,0:40,40,1,62,Fifty-one
21/4/18,10:50:00,650,11,54,Fifty-one
22/4/18,1:00:00,60,1,0,Fifty-one
23/4/18,8:38:00,518,9,134,Fifty-one
24/4/18,5:39:00,339,6,27,Fifty-one
26/4/18,13:20:00,800,13,41,Fifty-one
27/4/18,6:48:00,408,7,177,Fifty-one
28/4/18,15:58:00,958,16,138,Fifty-one
29/4/18,4:18,258,4,85,Fifty-one
30/4/18,6:59:00,419,7,139,Fifty-one
